set_code,cardno,name,rarity,price_yen,original_price_yen,in_stock
dzbt13,DZ-BT13/SEC01,穿雷竜 アルファルド “幻影”(箔押し),SEC,14800,,true
dzbt13,DZ-BT13/SEC02,紫炎の幻真獣 カルヴァネイル(箔押し),SEC,24800,,true
dzbt13,DZ-BT13/SEC03,決意と罪を抱く者 リィエル=アニムス(箔押し),SEC,79800,,false
dzbt13,DZ-BT13/SEC04,禁忌の窮明者 ゾルガ “幻影”(箔押し),SEC,24800,,true
dzbt13,DZ-BT13/SEC05,救済の零 ブラグドマイヤー “幻影”(箔押し),SEC,29800,,true
dzbt13,DZ-BT13/SEC06,悠久の大魔法師 ベルクレア(箔押し),SEC,29800,,true
dzbt13,DZ-BT13/SEC07,悠久の幻真獣 ニルズベイグ(箔押し),SEC,17800,,true
dzbt13,DZ-BT13/SEC08,LettiaMateS マグノリア “幻影”(箔押し),SEC,49800,,true
dzbt13,DZ-BT13/SEC09,万化の幻真獣 ウルティニアス(箔押し),SEC,12800,,true
dzbt13,DZ-BT13/DSR01,悠久の大魔法師 ベルクレア(箔押し),DSR,19800,,false
dzbt13,DZ-BT13/FFR01,穿雷竜 アルファルド “幻影”(箔押し),FFR,1480,,true
dzbt13,DZ-BT13/FFR02,ガンマレイズ・ドラゴン(箔押し),FFR,1280,,true
dzbt13,DZ-BT13/FFR03,ドラグリッター ハビタブルゾォン(箔押し),FFR,5980,,true
dzbt13,DZ-BT13/FFR04,崩塵旋孔の時空巨兵(箔押し),FFR,1280,,true
dzbt13,DZ-BT13/FFR05,紫炎の幻真獣 カルヴァネイル(箔押し),FFR,5980,,true
dzbt13,DZ-BT13/FFR06,決意と罪を抱く者 リィエル=アニムス(箔押し),FFR,14800,,true
dzbt13,DZ-BT13/FFR07,刻天想命 ウルト＆ルエル(箔押し),FFR,19800,,true
dzbt13,DZ-BT13/FFR08,禁忌の窮明者 ゾルガ “幻影”(箔押し),FFR,3980,,true
dzbt13,DZ-BT13/FFR09,ピアーシング・ラヴァー マーガレット(箔押し),FFR,3980,,true
dzbt13,DZ-BT13/FFR10,リグレインリサーチャー 骨肉剥し(箔押し),FFR,3980,,true
dzbt13,DZ-BT13/FFR11,救済の零 ブラグドマイヤー “幻影”(箔押し),FFR,3480,,true
dzbt13,DZ-BT13/FFR12,壮翼の騎士 カルガフラン(箔押し),FFR,4980,,true
dzbt13,DZ-BT13/FFR13,善根の騎士 バーダクト(箔押し),FFR,1980,,true
dzbt13,DZ-BT13/FFR14,悠久の大魔法師 ベルクレア(箔押し),FFR,5980,,true
dzbt13,DZ-BT13/FFR15,迅風の狩猟者 ガルティーズ(箔押し),FFR,1780,,true
dzbt13,DZ-BT13/FFR16,悠久の幻真獣 ニルズベイグ(箔押し),FFR,4980,,false
dzbt13,DZ-BT13/FFR17,LettiaMateS マグノリア “幻影”(箔押し),FFR,9980,,true
dzbt13,DZ-BT13/FFR18,万化の幻真獣 ウルティニアス(箔押し),FFR,1780,,true
dzbt13,DZ-BT13/FFR19,凛冽なる願い ヴァルシュブラン(箔押し),FFR,5980,,true
dzbt13,DZ-BT13/FFR20,LettiaMateS ディルアーシュ(箔押し),FFR,5980,,true
dzbt13,DZ-BT13/SR01,穿雷竜 アルファルド “幻影”(箔押し),SR,320,,true
dzbt13,DZ-BT13/SR02,ガンマレイズ・ドラゴン(箔押し),SR,320,,true
dzbt13,DZ-BT13/SR03,ドラグリッター ハビタブルゾォン(箔押し),SR,1980,,false
dzbt13,DZ-BT13/SR04,リカーランス・ドラゴン(箔押し),SR,120,220,true
dzbt13,DZ-BT13/SR05,剛鱗の重雷槌 ヴィクティアス(箔押し),SR,120,,true
dzbt13,DZ-BT13/SR06,ドラグリッター クトゥーブ(箔押し),SR,120,220,true
dzbt13,DZ-BT13/SR07,焔の巫女 ブレシア(箔押し),SR,320,,true
dzbt13,DZ-BT13/SR08,崩塵旋孔の時空巨兵(箔押し),SR,580,,true
