expansion,expansion_id,cardno,name,ruby,card_url,image_url,type,nation,race,grade,power,critical,shield,skill,gift,regulation,rarity,illustrator,effect,flavor,name_en,card_url_wiki,set_code_wiki,card_no_wiki
ブースターパック 【DZ-SS16】「伝説の先導者達」 2026/05/15(金) 発売 収録国家：ドラゴンエンパイア、ダークステイツ、ブラントゲート、ケテルサンクチュアリ、ストイケイア、リリカルモナステリオ コロコロ（特別収録）,295,DZ-SS16/001,ドラグリッター ラティーファ,（ドラグリッター ラティーファ）,https://cf-vanguard.com/cardlist/?cardno=DZ-SS16/001&expansion=295&view=image,https://cf-vanguard.com/wordpress/wp-content/images/cardlist/DZ-SS16/dzss16_001.png,ノーマルユニット,ドラゴンエンパイア,ドラゴロイド,グレード 2,パワー 10000,クリティカル 1,シールド 5000,インターセプト,-,スタンダード,RRR,北熊,【自】：このユニットがユニットカードの能力以外で(R)に登場した時、このターンにあなたがノーマルオーダーをプレイしているなら、【コスト】[【ソウルブラスト】(1)]することで、あなたの山札を上から５枚見て、あなたのヴァンガードのグレード以下を１枚まで選んで公開し、それがユニットカードなら(R)にコールし、ノーマルオーダーなら手札に加える。山札をシャッフルする。【自】【(R)】：このユニットがグレード３以上にアタックした時、このユニットと同じ縦列のユニットのいない相手の(R)１つにつき、そのバトル中、このユニットのパワー＋5000。,私の活躍っ！もっと近くで見てってよね！,"Dragritter, Lateefa","https://cardfight.fandom.com/wiki/Dragritter,_Lateefa",VGE-DZ-SS16,DZ-SS16/001
ブースターパック 【DZ-SS16】「伝説の先導者達」 2026/05/15(金) 発売 収録国家：ドラゴンエンパイア、ダークステイツ、ブラントゲート、ケテルサンクチュアリ、ストイケイア、リリカルモナステリオ コロコロ（特別収録）,295,DZ-SS16/002,赤宝獣 ガルネット,（セキホウジュウ ガルネット）,https://cf-vanguard.com/cardlist/?cardno=DZ-SS16/002&expansion=295&view=image,https://cf-vanguard.com/wordpress/wp-content/images/cardlist/DZ-SS16/dzss16_002.png,ノーマルユニット,ドラゴンエンパイア,ハイビースト,グレード 1,パワー 8000,クリティカル 1,シールド 5000,ブースト,-,スタンダード,RRR,かわすみ,【自】：このユニットが、(R)に登場した時か(G)に置かれた時、【コスト】[ソウルかドロップから、ライドデッキにしたカードを合計２枚ライドデッキに表で置く]ことで、このユニットのいるサークルにより以下を１つ行う。・(R)‐１枚引く。・(G)‐そのバトル中、このユニットのシールド＋15000。,熱い情熱の炎！儂ゃそういうのが大好きなんじゃ！,"Red Jeweled Beast, Galnet","https://cardfight.fandom.com/wiki/Red_Jeweled_Beast,_Galnet",VGE-DZ-SS16,DZ-SS16/002
ブースターパック 【DZ-SS16】「伝説の先導者達」 2026/05/15(金) 発売 収録国家：ドラゴンエンパイア、ダークステイツ、ブラントゲート、ケテルサンクチュアリ、ストイケイア、リリカルモナステリオ コロコロ（特別収録）,295,DZ-SS16/003,旋風竜 ヴォルドーン,（センプウリュウ ヴォルドーン）,https://cf-vanguard.com/cardlist/?cardno=DZ-SS16/003&expansion=295&view=image,https://cf-vanguard.com/wordpress/wp-content/images/cardlist/DZ-SS16/dzss16_003.png,ノーマルユニット,ドラゴンエンパイア,ウインドドラゴン,グレード 1,パワー 8000,クリティカル 1,シールド 5000,ブースト,-,スタンダード,RRR,タカヤマトシアキ,【自】：このユニットが(R)に登場した時、あなたのヴァンガードのグレードが、相手のヴァンガードのグレード以下なら、そのターン中、このユニットのパワー＋5000。【自】【(R)/ドロップ】：あなたのターンにあなたの他のカードが手札から捨てられた時、【コスト】[【エネルギーブラスト】(3)，このカードを除外する]ことで、その捨てられたカードを１枚選び、手札に加える。,とくと味わえ。絶命刃・断空！,"Whirlwind Dragon, Wardorn","https://cardfight.fandom.com/wiki/Whirlwind_Dragon,_Wardorn",VGE-DZ-SS16,DZ-SS16/003
ブースターパック 【DZ-SS16】「伝説の先導者達」 2026/05/15(金) 発売 収録国家：ドラゴンエンパイア、ダークステイツ、ブラントゲート、ケテルサンクチュアリ、ストイケイア、リリカルモナステリオ コロコロ（特別収録）,295,DZ-SS16/004,ドラグリッター ナズルディーン,（ドラグリッター ナズルディーン）,https://cf-vanguard.com/cardlist/?cardno=DZ-SS16/004&expansion=295&view=image,https://cf-vanguard.com/wordpress/wp-content/images/cardlist/DZ-SS16/dzss16_004.png,ノーマルユニット,ドラゴンエンパイア,ドラゴロイド,グレード 1,パワー 8000,クリティカル 1,シールド 5000,ブースト,-,スタンダード,RRR,麻谷知世,【自】：このユニットが、山札か手札から(R)に登場した時、このターンにあなたがペルソナシールド・チケットを手札に加えていないなら、以下を１つ行う。・【コスト】[ライドデッキからペルソナライドを持つカードを１枚公開する]ことで、ペルソナシールド・チケットを１枚手札に加える。・あなたのヴァンガードがペルソナライドを持つなら、ペルソナシールド・チケットを１枚手札に加える。【自】【(R)】：あなたがペルソナシールド・チケットをプレイした時、【コスト】[【ソウルブラスト】(1)]することで、このユニットを(G)に移動させる。,雷鳴の如く吼え、雷光の如く疾走する。,"Dragritter, Nasruddin","https://cardfight.fandom.com/wiki/Dragritter,_Nasruddin",VGE-DZ-SS16,DZ-SS16/004
ブースターパック 【DZ-SS16】「伝説の先導者達」 2026/05/15(金) 発売 収録国家：ドラゴンエンパイア、ダークステイツ、ブラントゲート、ケテルサンクチュアリ、ストイケイア、リリカルモナステリオ コロコロ（特別収録）,295,DZ-SS16/005,知の探究者 セルセーラ,（チノタンキュウシャ セルセーラ）,https://cf-vanguard.com/cardlist/?cardno=DZ-SS16/005&expansion=295&view=image,https://cf-vanguard.com/wordpress/wp-content/images/cardlist/DZ-SS16/dzss16_005.png,ノーマルユニット,ダークステイツ,エルフ,グレード 3,パワー 13000,クリティカル 1,シールド -,ツインドライブ、ペルソナライド,-,スタンダード,RRR,三越はるは,【起】【(V)】【ターン1回】：【コスト】[手札から１枚ソウルに置く]ことで、あなたのドロップからノーマルオーダーを１枚選び、ソウルに置き、あなたのソウルから１枚まで選び、(R)にコールし、あなたのソウルからノーマルオーダーを１枚まで選び、そのターン中、『【永】：このカードはソウルからでもプレイでき、プレイされてドロップに置く際、かわりにバインドする。』を与える。【起】【(V)】【ターン1回】：【コスト】[【カウンターブラスト】(1)]することで、あなたの、ソウルとバインドゾーンのノーマルオーダーの種類の合計により、そのターン中、このユニットは以下すべてを得る。・３種類以上‐【自】【(V)】【ターン1回】：このユニットがアタックしたバトル終了時、このユニットを【スタンド】させ、そのターン中、ドライブ－２。相手のヴァンガードがグレード３以上なら、そのターン中、このユニットのドライブ＋１。・５種類以上‐【永】【(V)】：あなたのユニットすべてのパワー＋5000。,いつだって勇気を引き寄せるのは人の想い……イメージの力なのよ。,"Inquirer of Knowledge, Selseera","https://cardfight.fandom.com/wiki/Inquirer_of_Knowledge,_Selseera",VGE-DZ-SS16,DZ-SS16/005
ブースターパック 【DZ-SS16】「伝説の先導者達」 2026/05/15(金) 発売 収録国家：ドラゴンエンパイア、ダークステイツ、ブラントゲート、ケテルサンクチュアリ、ストイケイア、リリカルモナステリオ コロコロ（特別収録）,295,DZ-SS16/006,麗焔魔嬢 オリエンス,（レイエンマジョウ オリエンス）,https://cf-vanguard.com/cardlist/?cardno=DZ-SS16/006&expansion=295&view=image,https://cf-vanguard.com/wordpress/wp-content/images/cardlist/DZ-SS16/dzss16_006.png,ノーマルユニット,ダークステイツ,デーモン,グレード 2,パワー 10000,クリティカル 1,シールド 5000,インターセプト,-,スタンダード,RRR,NOMISAKI,【自】：このユニットがユニットカードの能力以外で(R)に登場した時、このターンにあなたがノーマルオーダーをプレイしているなら、【コスト】[【ソウルブラスト】(1)]することで、あなたの山札を上から５枚見て、あなたのヴァンガードのグレード以下を１枚まで選んで公開し、それがユニットカードなら(R)にコールし、ノーマルオーダーなら手札に加える。山札をシャッフルする。【自】【(R)】：このユニットがグレード３以上にアタックした時、【コスト】[【ソウルブラスト】(3)]することで、１枚引き、そのターン中、このユニットのパワー＋5000。,いえ。私はあくまで、侍女ですので。,"Famed Blazing Demonic Lady, Oriens","https://cardfight.fandom.com/wiki/Famed_Blazing_Demonic_Lady,_Oriens",VGE-DZ-SS16,DZ-SS16/006
ブースターパック 【DZ-SS16】「伝説の先導者達」 2026/05/15(金) 発売 収録国家：ドラゴンエンパイア、ダークステイツ、ブラントゲート、ケテルサンクチュアリ、ストイケイア、リリカルモナステリオ コロコロ（特別収録）,295,DZ-SS16/007,時廻竜 クロックワイズ,（ジカイリュウ クロックワイズ）,https://cf-vanguard.com/cardlist/?cardno=DZ-SS16/007&expansion=295&view=image,https://cf-vanguard.com/wordpress/wp-content/images/cardlist/DZ-SS16/dzss16_007.png,ノーマルユニット,ダークステイツ,ギアドラゴン,グレード 1,パワー 8000,クリティカル 1,シールド 5000,ブースト,-,スタンダード,RRR,DaisukeIzuka,【自】：このユニットが(R)に登場した時、あなたのヴァンガードのグレードが、相手のヴァンガードのグレード以下なら、【ソウルチャージ】(1)し、そのターン中、このユニットのパワー＋2000。【自】【(R)/ドロップ】：あなたのターンにあなたの他のカードが手札から捨てられた時、【コスト】[【エネルギーブラスト】(3)，このカードを除外する]ことで、その捨てられたカードを１枚選び、手札に加える。,刻の歯車は欠け落ちることなく廻り続ける。,"Timeturner Dragon, Clockwize","https://cardfight.fandom.com/wiki/Timeturner_Dragon,_Clockwize",VGE-DZ-SS16,DZ-SS16/007
ブースターパック 【DZ-SS16】「伝説の先導者達」 2026/05/15(金) 発売 収録国家：ドラゴンエンパイア、ダークステイツ、ブラントゲート、ケテルサンクチュアリ、ストイケイア、リリカルモナステリオ コロコロ（特別収録）,295,DZ-SS16/008,紫宝獣 アルメジス,（シホウジュウ アルメジス）,https://cf-vanguard.com/cardlist/?cardno=DZ-SS16/008&expansion=295&view=image,https://cf-vanguard.com/wordpress/wp-content/images/cardlist/DZ-SS16/dzss16_008.png,ノーマルユニット,ダークステイツ,ハイビースト,グレード 1,パワー 8000,クリティカル 1,シールド 5000,ブースト,-,スタンダード,RRR,かわすみ,【自】：このユニットが、(R)に登場した時か(G)に置かれた時、【コスト】[ソウルかドロップから、ライドデッキにしたカードを合計２枚ライドデッキに表で置く]ことで、このユニットのいるサークルにより以下を１つ行う。・(R)‐【カウンターチャージ】(1)。・(G)‐そのバトル中、このユニットのシールド＋15000。,本当に捧げられる？君の持つ誠実な心ってヤツをさ。,"Purple Jeweled Beast, Almethys","https://cardfight.fandom.com/wiki/Purple_Jeweled_Beast,_Almethys",VGE-DZ-SS16,DZ-SS16/008
ブースターパック 【DZ-SS16】「伝説の先導者達」 2026/05/15(金) 発売 収録国家：ドラゴンエンパイア、ダークステイツ、ブラントゲート、ケテルサンクチュアリ、ストイケイア、リリカルモナステリオ コロコロ（特別収録）,295,DZ-SS16/009,妖厄竜 マイディローグ,（ヨウヤクリュウ マイディローグ）,https://cf-vanguard.com/cardlist/?cardno=DZ-SS16/009&expansion=295&view=image,https://cf-vanguard.com/wordpress/wp-content/images/cardlist/DZ-SS16/dzss16_009.png,ノーマルユニット,ダークステイツ,アビスドラゴン,グレード 1,パワー 8000,クリティカル 1,シールド 5000,ブースト,-,スタンダード,RRR,ガマゾウ,【自】：このユニットが、山札か手札から(R)に登場した時、このターンにあなたがペルソナシールド・チケットを手札に加えていないなら、以下を１つ行う。・【コスト】[ライドデッキからペルソナライドを持つカードを１枚公開する]ことで、ペルソナシールド・チケットを１枚手札に加える。・あなたのヴァンガードがペルソナライドを持つなら、ペルソナシールド・チケットを１枚手札に加える。【自】【(R)】：あなたがペルソナシールド・チケットをプレイした時、【コスト】[【ソウルブラスト】(1)]することで、このユニットを(G)に移動させる。,其に触れし者。精神は溶け堕ち、魂まで腐り果てる。,"Fiendish Calamity Dragon, Maidirogue","https://cardfight.fandom.com/wiki/Fiendish_Calamity_Dragon,_Maidirogue",VGE-DZ-SS16,DZ-SS16/009
ブースターパック 【DZ-SS16】「伝説の先導者達」 2026/05/15(金) 発売 収録国家：ドラゴンエンパイア、ダークステイツ、ブラントゲート、ケテルサンクチュアリ、ストイケイア、リリカルモナステリオ コロコロ（特別収録）,295,DZ-SS16/010,磁力怪獣 マグニデス,（ジリョクカイジュウ マグニデス）,https://cf-vanguard.com/cardlist/?cardno=DZ-SS16/010&expansion=295&view=image,https://cf-vanguard.com/wordpress/wp-content/images/cardlist/DZ-SS16/dzss16_010.png,ノーマルユニット,ブラントゲート,エイリアン,グレード 2,パワー 10000,クリティカル 1,シールド 5000,インターセプト,-,スタンダード,RRR,Moopic,【自】：このユニットがユニットカードの能力以外で(R)に登場した時、このターンにあなたがセットオーダーをプレイしているなら、【コスト】[【ソウルブラスト】(1)]することで、あなたの山札を上から５枚見て、あなたのヴァンガードのグレード以下を１枚まで選び、公開し、それがユニットカードなら(R)にコールし、セットオーダーなら手札に加える。山札をシャッフルする。【自】【(R)】：このユニットがグレード３以上にアタックした時、あなたのオーダーゾーンにセットオーダーがあるなら、そのバトル中、このユニットのパワー＋5000。あなたのヴァンガードが「怪獣」を含むなら、＋5000ではなく＋10000。,周囲の金属を凝集し、その一打は限りなく重く。,"Magnetism Monster, Magnides","https://cardfight.fandom.com/wiki/Magnetism_Monster,_Magnides",VGE-DZ-SS16,DZ-SS16/010
