set_code,cardno,name,rarity,price_yen,original_price_yen,in_stock
dzbt14,DZ-BT14/SEC01,ユースベルク“龍吼燎騎・幻影”(箔押し),SEC,49800,,true
dzbt14,DZ-BT14/SEC02,無双の幻真獣 ザルヴァ・ドラグニア(箔押し),SEC,49800,,true
dzbt14,DZ-BT14/SEC03,魔王竜 ガブエリウス “幻影”(箔押し),SEC,19800,,true
dzbt14,DZ-BT14/SEC04,零の幻真獣 グリヴァルディ(箔押し),SEC,39800,,true
dzbt14,DZ-BT14/SEC05,幻真獣機神 “月天巨星”アングボルド(箔押し),SEC,17800,,true
dzbt14,DZ-BT14/SEC06,裁秤大隊指揮官 アルグリーヴラ “幻影”(箔押し),SEC,24800,,true
dzbt14,DZ-BT14/SEC07,Bel-Fiore マイア(箔押し),SEC,49800,,false
dzbt14,DZ-BT14/SEC08,泡沫の大魔法師 ゼーリス “幻影”(箔押し),SEC,49800,,false
dzbt14,DZ-BT14/SEC09,X-CeeDaNCe インバルディオ “幻影”(箔押し),SEC,29800,,false
dzbt14,DZ-BT14/DSR01,泡沫の大魔法師 ゼーリス “幻影”(箔押し),DSR,39800,,false
dzbt14,DZ-BT14/FFR01,ユースベルク“龍吼燎騎・幻影”(箔押し),FFR,5980,,true
dzbt14,DZ-BT14/FFR02,ユースベルク“滅龍燎騎・赫絶”(箔押し),FFR,5980,,true
dzbt14,DZ-BT14/FFR03,無双の幻真獣 ザルヴァ・ドラグニア(箔押し),FFR,4980,,true
dzbt14,DZ-BT14/FFR04,ドラグリッター ウアターハ(箔押し),FFR,1980,,true
dzbt14,DZ-BT14/FFR05,魔王竜 ガブエリウス “幻影”(箔押し),FFR,2980,,true
dzbt14,DZ-BT14/FFR06,スチームメイデン スパイラルキューティ(箔押し),FFR,5980,,true
dzbt14,DZ-BT14/FFR07,零の幻真獣 グリヴァルディ(箔押し),FFR,3980,,true
dzbt14,DZ-BT14/FFR08,リヴァレントダガー・ドラゴン(箔押し),FFR,1480,,true
dzbt14,DZ-BT14/FFR09,幻真獣機神 “月天巨星”アングボルド(箔押し),FFR,2480,,true
dzbt14,DZ-BT14/FFR10,裁秤大隊指揮官 アルグリーヴラ “幻影”(箔押し),FFR,2480,,true
dzbt14,DZ-BT14/FFR11,スポラディークセロ・ドラゴン(箔押し),FFR,4980,,false
dzbt14,DZ-BT14/FFR12,裁秤大隊 フェルベシウス・ドラゴン(箔押し),FFR,1980,,true
dzbt14,DZ-BT14/FFR13,Bel-Fiore マイア(箔押し),FFR,9980,,true
dzbt14,DZ-BT14/FFR14,鴻恩の騎士 オルカデス(箔押し),FFR,6980,,true
dzbt14,DZ-BT14/FFR15,Bel-Fiore スエラ(箔押し),FFR,9980,,false
dzbt14,DZ-BT14/FFR16,泡沫の大魔法師 ゼーリス “幻影”(箔押し),FFR,5980,,true
dzbt14,DZ-BT14/FFR17,黒天の水将 レィミーナ(箔押し),FFR,12800,,true
dzbt14,DZ-BT14/FFR18,湖心の学匠 フォンタイン(箔押し),FFR,9980,,false
dzbt14,DZ-BT14/FFR19,X-CeeDaNCe インバルディオ “幻影”(箔押し),FFR,3980,,true
dzbt14,DZ-BT14/FFR20,目と目が合ったその日から エマンティーヌ(箔押し),FFR,3980,,true
dzbt14,DZ-BT14/FFR21,X-CeeDaNCe プレシー・フォルワット(箔押し),FFR,2980,,true
dzbt14,DZ-BT14/SR01,ユースベルク“龍吼燎騎・幻影”(箔押し),SR,1280,,true
dzbt14,DZ-BT14/SR02,ユースベルク“滅龍燎騎・赫絶”(箔押し),SR,980,1280,true
dzbt14,DZ-BT14/SR03,無双の幻真獣 ザルヴァ・ドラグニア(箔押し),SR,1280,1480,true
dzbt14,DZ-BT14/SR04,ドラグリッター ウアターハ(箔押し),SR,780,,true
dzbt14,DZ-BT14/SR05,荒牙之衆 マリエルド(箔押し),SR,120,,true
dzbt14,DZ-BT14/SR06,オブリテレイト・ドラゴン(箔押し),SR,220,,true
dzbt14,DZ-BT14/SR07,フォーロンホープ・ドラゴン(箔押し),SR,320,,true
dzbt14,DZ-BT14/SR08,アウトバースト・ドラゴン(箔押し),SR,120,,true
dzbt14,DZ-BT14/SR09,魔王竜 ガブエリウス “幻影”(箔押し),SR,320,500,true
dzbt14,DZ-BT14/SR10,スチームメイデン スパイラルキューティ(箔押し),SR,2480,,false
dzbt14,DZ-BT14/SR11,零の幻真獣 グリヴァルディ(箔押し),SR,1980,2480,true
dzbt14,DZ-BT14/SR12,リヴァレントダガー・ドラゴン(箔押し),SR,320,420,true
