Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Gift Card,Variant Weight Unit,Included / Singapore,Included / Australia,Included / Eurozone,Included / India,Included / International,Included / Japan,Included / United Kingdom,Included / United States,Status
dz-bt14-001,"DZ-BT14/001 Youthberk ""Drægforce Arms: Fantôme"" [RRR]","<p><strong>Youthberk ""Drægforce Arms: Fantôme""</strong></p>
<p>Card Number: DZ-BT14/001</p>
<p>Rarity: RRR</p>
<p>Grade: グレード 3</p>
<p>Nation: ドラゴンエンパイア</p>",Cardboard Collectible,Vanguard Singles,"Vanguard, Vanguard Singles, Singles, DZ-BT, DZ-BT14",true,Title,Default Title,,,,,DZ-BT14/001,0.002,shopify,1,deny,manual,3.8,true,true,https://cf-vanguard.com/wordpress/wp-content/images/cardlist/DZ-BT14/dzbt14_001.png,1,false,kg,true,true,true,true,true,true,true,true,active
dz-bt14-002,"DZ-BT14/002 Youthberk ""DrægForm: Dynast"" [RRR]","<p><strong>Youthberk ""DrægForm: Dynast""</strong></p>
<p>Card Number: DZ-BT14/002</p>
<p>Rarity: RRR</p>
<p>Grade: グレード 3</p>
<p>Nation: ドラゴンエンパイア</p>",Cardboard Collectible,Vanguard Singles,"Vanguard, Vanguard Singles, Singles, DZ-BT, DZ-BT14",true,Title,Default Title,,,,,DZ-BT14/002,0.002,shopify,1,deny,manual,3.8,true,true,https://cf-vanguard.com/wordpress/wp-content/images/cardlist/DZ-BT14/dzbt14_002.png,1,false,kg,true,true,true,true,true,true,true,true,active
dz-bt14-003,"DZ-BT14/003 Mythisch of Unparalleled, Zalva Dragnia [RRR]","<p><strong>Mythisch of Unparalleled, Zalva Dragnia</strong></p>
<p>Card Number: DZ-BT14/003</p>
<p>Rarity: RRR</p>
<p>Grade: グレード 2</p>
<p>Nation: ドラゴンエンパイア</p>",Cardboard Collectible,Vanguard Singles,"Vanguard, Vanguard Singles, Singles, DZ-BT, DZ-BT14",true,Title,Default Title,,,,,DZ-BT14/003,0.002,shopify,1,deny,manual,4.5,true,true,https://cf-vanguard.com/wordpress/wp-content/images/cardlist/DZ-BT14/dzbt14_003.png,1,false,kg,true,true,true,true,true,true,true,true,active
dz-bt14-004,"DZ-BT14/004 Dragritter, Uathaach [RRR]","<p><strong>Dragritter, Uathaach</strong></p>
<p>Card Number: DZ-BT14/004</p>
<p>Rarity: RRR</p>
<p>Grade: グレード 1</p>
<p>Nation: ドラゴンエンパイア</p>",Cardboard Collectible,Vanguard Singles,"Vanguard, Vanguard Singles, Singles, DZ-BT, DZ-BT14",true,Title,Default Title,,,,,DZ-BT14/004,0.002,shopify,1,deny,manual,3.8,true,true,https://cf-vanguard.com/wordpress/wp-content/images/cardlist/DZ-BT14/dzbt14_004.png,1,false,kg,true,true,true,true,true,true,true,true,active
dz-bt14-005,"DZ-BT14/005 Demonic Lord Dragon, Gabwelius ""Fantôme"" [RRR]","<p><strong>Demonic Lord Dragon, Gabwelius ""Fantôme""</strong></p>
<p>Card Number: DZ-BT14/005</p>
<p>Rarity: RRR</p>
<p>Grade: グレード 3</p>
<p>Nation: ダークステイツ</p>",Cardboard Collectible,Vanguard Singles,"Vanguard, Vanguard Singles, Singles, DZ-BT, DZ-BT14",true,Title,Default Title,,,,,DZ-BT14/005,0.002,shopify,1,deny,manual,2.0,true,true,https://cf-vanguard.com/wordpress/wp-content/images/cardlist/DZ-BT14/dzbt14_005.png,1,false,kg,true,true,true,true,true,true,true,true,active
dz-bt14-006,"DZ-BT14/006 Steam Maiden, Spiral Cutie [RRR]","<p><strong>Steam Maiden, Spiral Cutie</strong></p>
<p>Card Number: DZ-BT14/006</p>
<p>Rarity: RRR</p>
<p>Grade: グレード 2</p>
<p>Nation: ダークステイツ</p>",Cardboard Collectible,Vanguard Singles,"Vanguard, Vanguard Singles, Singles, DZ-BT, DZ-BT14",true,Title,Default Title,,,,,DZ-BT14/006,0.002,shopify,1,deny,manual,22.5,true,true,https://cf-vanguard.com/wordpress/wp-content/images/cardlist/DZ-BT14/dzbt14_006.png,1,false,kg,true,true,true,true,true,true,true,true,active
dz-bt14-007,"DZ-BT14/007 Mythisch of Zero, Grivardhy [RRR]","<p><strong>Mythisch of Zero, Grivardhy</strong></p>
<p>Card Number: DZ-BT14/007</p>
<p>Rarity: RRR</p>
<p>Grade: グレード 2</p>
<p>Nation: ダークステイツ</p>",Cardboard Collectible,Vanguard Singles,"Vanguard, Vanguard Singles, Singles, DZ-BT, DZ-BT14",true,Title,Default Title,,,,,DZ-BT14/007,0.002,shopify,1,deny,manual,7.1,true,true,https://cf-vanguard.com/wordpress/wp-content/images/cardlist/DZ-BT14/dzbt14_007.png,1,false,kg,true,true,true,true,true,true,true,true,active
dz-bt14-008,DZ-BT14/008 Reverent Dagger Dragon [RRR],"<p><strong>Reverent Dagger Dragon</strong></p>
<p>Card Number: DZ-BT14/008</p>
<p>Rarity: RRR</p>
<p>Grade: グレード 2</p>
<p>Nation: ダークステイツ</p>",Cardboard Collectible,Vanguard Singles,"Vanguard, Vanguard Singles, Singles, DZ-BT, DZ-BT14",true,Title,Default Title,,,,,DZ-BT14/008,0.002,shopify,1,deny,manual,2.0,true,true,https://cf-vanguard.com/wordpress/wp-content/images/cardlist/DZ-BT14/dzbt14_008.png,1,false,kg,true,true,true,true,true,true,true,true,active
dz-bt14-009,"DZ-BT14/009 Mythisch Machine Deity, ""Mondgestirn"" Angrbold [RRR]","<p><strong>Mythisch Machine Deity, ""Mondgestirn"" Angrbold</strong></p>
<p>Card Number: DZ-BT14/009</p>
<p>Rarity: RRR</p>
<p>Grade: グレード 3</p>
<p>Nation: ブラントゲート</p>",Cardboard Collectible,Vanguard Singles,"Vanguard, Vanguard Singles, Singles, DZ-BT, DZ-BT14",true,Title,Default Title,,,,,DZ-BT14/009,0.002,shopify,1,deny,manual,2.9,true,true,https://cf-vanguard.com/wordpress/wp-content/images/cardlist/DZ-BT14/dzbt14_009.png,1,false,kg,true,true,true,true,true,true,true,true,active
dz-bt14-010,"DZ-BT14/010 Leibrecht Commander, Aelquilibra ""Fantôme"" [RRR]","<p><strong>Leibrecht Commander, Aelquilibra ""Fantôme""</strong></p>
<p>Card Number: DZ-BT14/010</p>
<p>Rarity: RRR</p>
<p>Grade: グレード 3</p>
<p>Nation: ブラントゲート</p>",Cardboard Collectible,Vanguard Singles,"Vanguard, Vanguard Singles, Singles, DZ-BT, DZ-BT14",true,Title,Default Title,,,,,DZ-BT14/010,0.002,shopify,1,deny,manual,2.9,true,true,https://cf-vanguard.com/wordpress/wp-content/images/cardlist/DZ-BT14/dzbt14_010.png,1,false,kg,true,true,true,true,true,true,true,true,active
dz-bt14-011,DZ-BT14/011 Sporadic Cerro Dragon [RRR],"<p><strong>Sporadic Cerro Dragon</strong></p>
<p>Card Number: DZ-BT14/011</p>
<p>Rarity: RRR</p>
<p>Grade: グレード 1</p>
<p>Nation: ブラントゲート</p>",Cardboard Collectible,Vanguard Singles,"Vanguard, Vanguard Singles, Singles, DZ-BT, DZ-BT14",true,Title,Default Title,,,,,DZ-BT14/011,0.002,shopify,0,deny,manual,13.5,true,true,https://cf-vanguard.com/wordpress/wp-content/images/cardlist/DZ-BT14/dzbt14_011.png,1,false,kg,true,true,true,true,true,true,true,true,active
dz-bt14-012,"DZ-BT14/012 Librate Battalion, Firvesius Dragon [RRR]","<p><strong>Librate Battalion, Firvesius Dragon</strong></p>
<p>Card Number: DZ-BT14/012</p>
<p>Rarity: RRR</p>
<p>Grade: グレード 1</p>
<p>Nation: ブラントゲート</p>",Cardboard Collectible,Vanguard Singles,"Vanguard, Vanguard Singles, Singles, DZ-BT, DZ-BT14",true,Title,Default Title,,,,,DZ-BT14/012,0.002,shopify,1,deny,manual,2.9,true,true,https://cf-vanguard.com/wordpress/wp-content/images/cardlist/DZ-BT14/dzbt14_012.png,1,false,kg,true,true,true,true,true,true,true,true,active
dz-bt14-013,"DZ-BT14/013 Bel-Fiore, Maia [RRR]","<p><strong>Bel-Fiore, Maia</strong></p>
<p>Card Number: DZ-BT14/013</p>
<p>Rarity: RRR</p>
<p>Grade: グレード 3</p>
<p>Nation: ケテルサンクチュアリ</p>",Cardboard Collectible,Vanguard Singles,"Vanguard, Vanguard Singles, Singles, DZ-BT, DZ-BT14",true,Title,Default Title,,,,,DZ-BT14/013,0.002,shopify,1,deny,manual,8.9,true,true,https://cf-vanguard.com/wordpress/wp-content/images/cardlist/DZ-BT14/dzbt14_013.png,1,false,kg,true,true,true,true,true,true,true,true,active
dz-bt14-014,"DZ-BT14/014 Knight of Great Favor, Orcades [RRR]","<p><strong>Knight of Great Favor, Orcades</strong></p>
<p>Card Number: DZ-BT14/014</p>
<p>Rarity: RRR</p>
<p>Grade: グレード 2</p>
<p>Nation: ケテルサンクチュアリ</p>",Cardboard Collectible,Vanguard Singles,"Vanguard, Vanguard Singles, Singles, DZ-BT, DZ-BT14",true,Title,Default Title,,,,,DZ-BT14/014,0.002,shopify,1,deny,manual,5.3,true,true,https://cf-vanguard.com/wordpress/wp-content/images/cardlist/DZ-BT14/dzbt14_014.png,1,false,kg,true,true,true,true,true,true,true,true,active
dz-bt14-015,"DZ-BT14/015 Bel-Fiore, Suera [RRR]","<p><strong>Bel-Fiore, Suera</strong></p>
<p>Card Number: DZ-BT14/015</p>
<p>Rarity: RRR</p>
<p>Grade: グレード 2</p>
<p>Nation: ケテルサンクチュアリ</p>",Cardboard Collectible,Vanguard Singles,"Vanguard, Vanguard Singles, Singles, DZ-BT, DZ-BT14",true,Title,Default Title,,,,,DZ-BT14/015,0.002,shopify,1,deny,manual,7.1,true,true,https://cf-vanguard.com/wordpress/wp-content/images/cardlist/DZ-BT14/dzbt14_015.png,1,false,kg,true,true,true,true,true,true,true,true,active
dz-bt14-016,"DZ-BT14/016 Great Magick Caster of Transitory, Zerith ""Fantôme"" [RRR]","<p><strong>Great Magick Caster of Transitory, Zerith ""Fantôme""</strong></p>
<p>Card Number: DZ-BT14/016</p>
<p>Rarity: RRR</p>
<p>Grade: グレード 3</p>
<p>Nation: ストイケイア</p>",Cardboard Collectible,Vanguard Singles,"Vanguard, Vanguard Singles, Singles, DZ-BT, DZ-BT14",true,Title,Default Title,,,,,DZ-BT14/016,0.002,shopify,1,deny,manual,8.9,true,true,https://cf-vanguard.com/wordpress/wp-content/images/cardlist/DZ-BT14/dzbt14_016.png,1,false,kg,true,true,true,true,true,true,true,true,active
dz-bt14-017,"DZ-BT14/017 Marine General of the Black Sky, Leimina [RRR]","<p><strong>Marine General of the Black Sky, Leimina</strong></p>
<p>Card Number: DZ-BT14/017</p>
<p>Rarity: RRR</p>
<p>Grade: グレード 2</p>
<p>Nation: ストイケイア</p>",Cardboard Collectible,Vanguard Singles,"Vanguard, Vanguard Singles, Singles, DZ-BT, DZ-BT14",true,Title,Default Title,,,,,DZ-BT14/017,0.002,shopify,1,deny,manual,22.5,true,true,https://cf-vanguard.com/wordpress/wp-content/images/cardlist/DZ-BT14/dzbt14_017.png,1,false,kg,true,true,true,true,true,true,true,true,active
dz-bt14-018,"DZ-BT14/018 Scholar of Lake Heart, Fontijn [RRR]","<p><strong>Scholar of Lake Heart, Fontijn</strong></p>
<p>Card Number: DZ-BT14/018</p>
<p>Rarity: RRR</p>
<p>Grade: グレード 2</p>
<p>Nation: ストイケイア</p>",Cardboard Collectible,Vanguard Singles,"Vanguard, Vanguard Singles, Singles, DZ-BT, DZ-BT14",true,Title,Default Title,,,,,DZ-BT14/018,0.002,shopify,1,deny,manual,11.6,true,true,https://cf-vanguard.com/wordpress/wp-content/images/cardlist/DZ-BT14/dzbt14_018.png,1,false,kg,true,true,true,true,true,true,true,true,active
dz-bt14-019,"DZ-BT14/019 X-CeeDaNCe, Impauldio ""Fantôme"" [RRR]","<p><strong>X-CeeDaNCe, Impauldio ""Fantôme""</strong></p>
<p>Card Number: DZ-BT14/019</p>
<p>Rarity: RRR</p>
<p>Grade: グレード 3</p>
<p>Nation: リリカルモナステリオ</p>",Cardboard Collectible,Vanguard Singles,"Vanguard, Vanguard Singles, Singles, DZ-BT, DZ-BT14",true,Title,Default Title,,,,,DZ-BT14/019,0.002,shopify,1,deny,manual,2.9,true,true,https://cf-vanguard.com/wordpress/wp-content/images/cardlist/DZ-BT14/dzbt14_019.png,1,false,kg,true,true,true,true,true,true,true,true,active
dz-bt14-020,"DZ-BT14/020 Eyes of Miracle, Aimantine [RRR]","<p><strong>Eyes of Miracle, Aimantine</strong></p>
<p>Card Number: DZ-BT14/020</p>
<p>Rarity: RRR</p>
<p>Grade: グレード 2</p>
<p>Nation: リリカルモナステリオ</p>",Cardboard Collectible,Vanguard Singles,"Vanguard, Vanguard Singles, Singles, DZ-BT, DZ-BT14",true,Title,Default Title,,,,,DZ-BT14/020,0.002,shopify,1,deny,manual,2.0,true,true,https://cf-vanguard.com/wordpress/wp-content/images/cardlist/DZ-BT14/dzbt14_020.png,1,false,kg,true,true,true,true,true,true,true,true,active
dz-bt14-021,"DZ-BT14/021 X-CeeDaNCe, Preshy Forewatt [RRR]","<p><strong>X-CeeDaNCe, Preshy Forewatt</strong></p>
<p>Card Number: DZ-BT14/021</p>
<p>Rarity: RRR</p>
<p>Grade: グレード 2</p>
<p>Nation: リリカルモナステリオ</p>",Cardboard Collectible,Vanguard Singles,"Vanguard, Vanguard Singles, Singles, DZ-BT, DZ-BT14",true,Title,Default Title,,,,,DZ-BT14/021,0.002,shopify,1,deny,manual,2.0,true,true,https://cf-vanguard.com/wordpress/wp-content/images/cardlist/DZ-BT14/dzbt14_021.png,1,false,kg,true,true,true,true,true,true,true,true,active
dz-bt14-022,"DZ-BT14/022 Venatiol, Marield [RR]","<p><strong>Venatiol, Marield</strong></p>
<p>Card Number: DZ-BT14/022</p>
<p>Rarity: RR</p>
<p>Grade: グレード 2</p>
<p>Nation: ドラゴンエンパイア</p>",Cardboard Collectible,Vanguard Singles,"Vanguard, Vanguard Singles, Singles, DZ-BT, DZ-BT14",true,Title,Default Title,,,,,DZ-BT14/022,0.002,shopify,1,deny,manual,0.7,true,true,https://cf-vanguard.com/wordpress/wp-content/images/cardlist/DZ-BT14/dzbt14_022.png,1,false,kg,true,true,true,true,true,true,true,true,active
dz-bt14-023,DZ-BT14/023 Obliterate Dragon [RR],"<p><strong>Obliterate Dragon</strong></p>
<p>Card Number: DZ-BT14/023</p>
<p>Rarity: RR</p>
<p>Grade: グレード 2</p>
<p>Nation: ドラゴンエンパイア</p>",Cardboard Collectible,Vanguard Singles,"Vanguard, Vanguard Singles, Singles, DZ-BT, DZ-BT14",true,Title,Default Title,,,,,DZ-BT14/023,0.002,shopify,1,deny,manual,1.6,true,true,https://cf-vanguard.com/wordpress/wp-content/images/cardlist/DZ-BT14/dzbt14_023.png,1,false,kg,true,true,true,true,true,true,true,true,active
dz-bt14-024,DZ-BT14/024 Forlorn Hope Dragon [RR],"<p><strong>Forlorn Hope Dragon</strong></p>
<p>Card Number: DZ-BT14/024</p>
<p>Rarity: RR</p>
<p>Grade: グレード 2</p>
<p>Nation: ドラゴンエンパイア</p>",Cardboard Collectible,Vanguard Singles,"Vanguard, Vanguard Singles, Singles, DZ-BT, DZ-BT14",true,Title,Default Title,,,,,DZ-BT14/024,0.002,shopify,1,deny,manual,1.1,true,true,https://cf-vanguard.com/wordpress/wp-content/images/cardlist/DZ-BT14/dzbt14_024.png,1,false,kg,true,true,true,true,true,true,true,true,active
dz-bt14-025,DZ-BT14/025 Outburst Dragon [RR],"<p><strong>Outburst Dragon</strong></p>
<p>Card Number: DZ-BT14/025</p>
<p>Rarity: RR</p>
<p>Grade: グレード 1</p>
<p>Nation: ドラゴンエンパイア</p>",Cardboard Collectible,Vanguard Singles,"Vanguard, Vanguard Singles, Singles, DZ-BT, DZ-BT14",true,Title,Default Title,,,,,DZ-BT14/025,0.002,shopify,1,deny,manual,0.7,true,true,https://cf-vanguard.com/wordpress/wp-content/images/cardlist/DZ-BT14/dzbt14_025.png,1,false,kg,true,true,true,true,true,true,true,true,active
dz-bt14-026,DZ-BT14/026 Fluid Suffocator [RR],"<p><strong>Fluid Suffocator</strong></p>
<p>Card Number: DZ-BT14/026</p>
<p>Rarity: RR</p>
<p>Grade: グレード 2</p>
<p>Nation: ダークステイツ</p>",Cardboard Collectible,Vanguard Singles,"Vanguard, Vanguard Singles, Singles, DZ-BT, DZ-BT14",true,Title,Default Title,,,,,DZ-BT14/026,0.002,shopify,1,deny,manual,0.7,true,true,https://cf-vanguard.com/wordpress/wp-content/images/cardlist/DZ-BT14/dzbt14_026.png,1,false,kg,true,true,true,true,true,true,true,true,active
